sample_id,VIM,CDH2,SNAI1,SNAI2,ZEB1,ZEB2,FN1,TWIST1,MMP2,MMP9,TGFB1,COL1A1,COL1A2,ACTA2,FAP,PDGFRB,CDH1,EPCAM,KRT5,KRT14,KRT8,KRT18,DSP,CLDN1,CLDN4,OCLN,TJP1,ACTB,GAPDH,TUBB,RPL13A,B2M,HPRT1,PPIA,YWHAZ,subtype_full,subtype
TCGA-CV-6962-01,13.0821,6.1364,6.8476,8.818,6.777,7.6327,15.6113,4.8105,10.3931,10.4934,10.5995,15.6038,14.1017,10.5981,7.3888,10.0081,13.9643,12.9695,17.2799,11.6886,14.1068,13.1498,14.9886,12.0636,13.0774,8.59,11.1674,16.692,17.422,13.9949,14.1055,13.1979,10.4125,12.5152,15.0908,Classical,Other
TCGA-CN-4726-01,13.7201,6.4106,6.4494,11.2799,8.2044,8.5902,15.4842,7.9676,12.3887,10.1427,11.1114,17.0933,17.2024,12.0422,10.6207,11.7568,13.6669,7.3363,19.2307,19.8429,7.2068,10.2176,17.3508,15.3409,11.8338,5.2738,11.3109,17.5162,16.8289,14.3765,13.1598,16.5134,9.8253,12.4472,16.3043,Basal,Other
TCGA-CR-7393-01,14.7162,5.9433,7.5886,9.8495,10.0077,10.9895,14.8866,8.794,14.0159,10.2332,11.167,16.3803,15.9731,10.3684,9.0202,12.9355,13.4444,7.0303,18.154,18.2004,8.9608,10.0695,17.1813,12.2153,13.9751,8.0785,11.7763,17.2134,15.5601,13.9246,13.268,15.5917,8.798,11.5459,14.8996,Atypical,Other
TCGA-BA-4076-01,13.1704,7.8006,5.8758,10.4161,7.9971,7.7488,13.7074,7.2786,11.4769,11.6029,12.3994,14.7266,13.5977,9.8308,8.6106,10.6494,14.2053,8.8849,17.9116,17.6781,12.0615,12.0513,16.0816,13.7526,11.0018,7.2087,11.5724,17.3337,17.4382,14.5734,13.3785,15.4157,10.6944,13.5912,15.2816,Basal,Other
TCGA-CR-6471-01,13.6755,3.6239,5.5812,10.0974,8.2409,9.0967,14.4069,6.8065,13.1613,11.8621,11.7392,16.841,16.1092,9.9591,9.3097,11.4814,13.7034,6.0238,19.3034,19.7938,8.1026,11.0962,17.4552,13.0987,11.2596,9.166,12.4898,17.1492,15.8406,14.4766,13.0642,16.0319,9.6873,12.0322,16.0508,Basal,Other
TCGA-DQ-5629-01,12.3945,4.7364,5.4671,10.7305,7.7635,7.3277,14.3529,7.4542,12.7117,9.4042,11.2204,16.2759,15.4304,10.7487,8.1287,11.0142,14.0711,11.9193,18.5038,17.9367,14.4365,12.5435,16.2663,10.8519,12.8255,8.1336,11.8532,16.8413,17.5308,14.4221,12.7372,14.7168,10.4948,12.3585,15.2024,Classical,Other
TCGA-CV-7424-01,14.3111,7.1705,6.8278,10.8166,9.6234,9.3243,16.7328,8.6091,14.3392,10.248,11.0236,17.9947,17.2652,12.9997,10.4954,11.9427,12.8614,13.2422,16.7684,15.2602,13.7465,11.9531,14.5343,10.8949,12.2532,6.7982,11.0213,16.8581,16.9081,14.4398,13.2698,15.4516,10.0208,12.7886,15.0263,Classical,Other
TCGA-CV-5434-01,14.9956,5.5265,7.0864,10.1346,9.3541,9.8477,17.055,7.6485,13.4849,14.4385,11.6892,17.6508,16.8014,12.187,9.8992,12.1478,13.0844,11.8407,17.5713,16.2375,13.5365,12.4594,15.0579,13.1198,13.4512,7.2777,11.3595,16.7287,16.3764,13.9705,12.7234,15.5786,10.5506,11.893,14.9361,Mesenchymal,MS
TCGA-CR-7397-01,15.0411,7.3911,8.4769,11.2619,10.2433,9.968,17.9604,9.0559,14.4129,13.7501,11.3004,19.4222,18.4129,12.8057,10.9081,13.4296,12.7413,7.3565,17.8267,17.4975,9.1576,11.0697,16.7319,12.6222,11.7397,7.2848,12.4437,17.2714,16.7864,14.4744,13.1112,15.4442,9.5877,12.0969,14.9567,Mesenchymal,MS
TCGA-CR-6474-01,15.1598,7.7559,9.0047,11.72,10.4348,10.1373,17.6349,9.6271,15.4973,11.3928,12.3822,18.7359,17.8514,11.9404,11.2646,13.5676,12.2116,8.7437,18.307,18.009,11.8836,11.6772,15.0549,13.1655,9.9682,5.0135,11.0311,18.1934,16.0584,14.8977,12.7943,16.078,10.3756,13.0739,15.423,Mesenchymal,MS
TCGA-HD-7229-01,12.0329,2.8537,5.295,12.2263,7.047,7.5363,12.7655,6.8102,10.4255,11.2823,12.4014,14.2941,13.2493,8.865,5.9634,10.0665,13.3126,7.4324,19.166,19.0513,10.2963,11.1597,16.0256,10.8909,10.3104,6.0723,11.6593,17.7906,16.3709,14.1052,12.2781,17.0417,9.2643,13.2078,15.2252,Basal,Other
TCGA-CV-6951-01,12.4972,4.7829,5.1388,10.8044,8.1646,7.4096,13.8648,6.0822,12.5853,7.5578,11.8519,15.8102,14.9119,9.689,8.0026,9.8795,13.4514,11.7274,18.4185,18.2192,11.6232,11.3966,16.4149,12.1813,12.9959,7.3616,11.4125,16.7535,16.8162,13.9636,13.2929,14.8314,10.4117,12.5394,15.3721,Classical,Other
TCGA-CQ-6220-01,12.0737,2.8964,5.4933,10.0318,7.317,7.7139,12.0957,7.2006,11.3577,10.7655,11.1755,14.5744,13.8056,9.2973,7.4515,10.4019,13.9659,9.2592,19.2271,20.1796,10.9303,11.6219,17.5364,13.4178,11.8659,8.454,11.6658,16.9759,16.5284,14.5592,11.8578,16.1267,9.843,12.6537,15.441,Basal,Other
TCGA-CN-5360-01,13.7259,5.1429,5.8491,9.6377,9.3396,9.9503,14.5493,7.1385,12.8055,12.202,10.9903,14.5922,14.2702,10.7627,8.4149,11.4763,13.1488,11.3044,17.0017,15.922,13.6531,11.4619,16.4086,12.8769,13.0985,7.6166,11.5995,16.4153,15.8269,13.7616,12.5475,15.8398,9.2413,11.049,13.7377,Atypical,Other
TCGA-CQ-5329-01,14.7987,9.7203,6.8272,11.7232,8.9483,8.8332,17.4228,8.3828,13.2966,12.1786,11.3527,16.6064,15.676,11.2263,10.5708,11.8904,12.4886,9.0549,18.4329,18.8498,12.4039,11.8807,15.6447,10.8916,9.0025,3.7491,10.6222,17.3134,16.466,14.9073,12.8578,16.5105,9.7478,12.76,15.2903,Mesenchymal,MS
TCGA-CR-7399-01,13.5287,2.503,7.5116,9.4106,8.0961,8.9116,13.3545,8.0722,11.9138,10.2182,10.9896,14.2677,13.5298,10.2076,7.2875,10.8712,13.5715,12.635,17.2691,10.1367,13.0806,11.8643,14.5575,14.0062,11.6395,7.3062,10.6799,16.8576,16.8249,15.0035,13.5836,16.1768,10.1259,12.1804,14.2536,Atypical,Other
TCGA-CV-6961-01,13.3654,8.2077,8.2618,10.2522,8.764,9.2663,16.2503,8.6272,12.9981,9.8734,12.3355,16.5196,15.4926,10.8066,9.3993,9.7998,13.0748,10.2164,17.3997,16.3725,14.8116,12.7675,15.6386,13.9223,11.841,6.9672,10.6823,17.6118,17.576,14.596,12.5943,15.6413,10.0656,12.4402,14.7633,Classical,Other
TCGA-CQ-6225-01,11.1166,1.6572,5.6388,10.5107,4.999,5.5083,11.1656,4.1597,10.4744,10.6838,11.8056,12.3781,10.917,8.7972,5.9039,6.9847,13.4883,11.3324,16.8303,17.2421,12.0418,12.1415,15.9652,15.168,12.9207,7.8857,11.6534,16.803,16.9889,13.9116,13.6981,14.1914,10.4798,12.8845,14.8958,Atypical,Other
TCGA-CR-6472-01,13.0447,4.3937,5.0238,10.1184,7.8088,8.2494,14.8322,6.1613,12.4662,7.2822,9.0783,16.3807,15.7089,11.2034,8.1838,11.1458,14.3511,11.9979,18.8784,10.1126,15.0098,13.0327,16.6573,16.2402,13.0299,10.2618,12.0076,16.4554,16.8077,15.204,13.5624,14.0039,9.5142,12.6835,15.5242,Atypical,Other
